Date,Daily Deaths
19 feb 2020,
20 feb 2020,0
21 feb 2020,1
22 feb 2020,1
23 feb 2020,1
24 feb 2020,4
25 feb 2020,3
26 feb 2020,2
27 feb 2020,5
28 feb 2020,4
29 feb 2020,8
1 mar 2020,5
2 mar 2020,18
3 mar 2020,27
4 mar 2020,28
5 mar 2020,41
6 mar 2020,49
7 mar 2020,36
8 mar 2020,133
9 mar 2020,97
10 mar 2020,168
11 mar 2020,196
12 mar 2020,189
13 mar 2020,250
14 mar 2020,175
15 mar 2020,368
16 mar 2020,349
17 mar 2020,345
18 mar 2020,475
19 mar 2020,427
20 mar 2020,627
21 mar 2020,793
22 mar 2020,651
23 mar 2020,601
24 mar 2020,743
25 mar 2020,683
26 mar 2020,662
27 mar 2020,969
28 mar 2020,889
29 mar 2020,756
30 mar 2020,812
31 mar 2020,837
1 apr 2020,727
2 apr 2020,760
3 apr 2020,766
4 apr 2020,681
5 apr 2020,525
6 apr 2020,636
7 apr 2020,604
8 apr 2020,542
9 apr 2020,610
10 apr 2020,570
11 apr 2020,619
12 apr 2020,431
13 apr 2020,566
14 apr 2020,602
15 apr 2020,578
16 apr 2020,525
17 apr 2020,575
